 Dati di altezza, pressione, temperatura; (altezza ricavata tramite formula di Laplace)
  MILANO LINATE - 20/03/2016  ORE 0:00Z - h0= 103.0  p0=1003.0 T0= 11.2
 Z (m),  P (mBar),  T (C)
   295.2  980.0    10.9
   388.6  969.0    10.6
   648.4  939.0     9.8
   719.0  931.0     9.6
   772.3  925.0     9.6
   924.9  908.0     8.7
   934.0  907.0     8.6
  1006.7  899.0     8.6
  1464.0  850.0     4.8
  1676.0  828.0     3.6
  1783.7  817.0     2.8
  2563.2  741.0    -1.3
  3011.3  700.0    -4.9
  3456.1  661.0    -8.9
  4157.5  603.0   -13.3
  4284.3  593.0   -12.9
  5494.6  504.0   -22.6
  5552.7  500.0   -23.1
  5714.4  489.0   -24.3
  6015.8  469.0   -26.5
  6327.5  449.0   -28.9
  6584.7  433.0   -30.8
  7139.5  400.0   -35.1
  7191.7  397.0   -35.4
  7261.7  393.0   -35.9
  7638.9  372.0   -38.9
  8187.5  343.0   -43.3
  8265.9  339.0   -43.9
  9070.6  300.0   -50.3
  9584.2  277.0   -53.8
  9937.9  262.0   -56.2
 10207.7  251.0   -58.1
 10232.7  250.0   -57.9
 10283.1  248.0   -58.1
 10592.7  236.0   -59.4
 11343.1  209.0   -62.7
 11613.7  200.0   -61.3
 11707.0  197.0   -60.8
 11898.8  191.0   -59.7
 11931.4  190.0   -59.5
 12199.1  182.0   -59.4
 12587.3  171.0   -59.2
 13159.7  156.0   -58.9
 13240.2  154.0   -58.9
 13404.1  150.0   -59.5
 13529.8  147.0   -59.6
 14340.9  129.0   -60.2
 14636.0  123.0   -60.5
 14945.5  117.0   -60.7
 15555.6  106.0   -61.2
 15914.9  100.0   -61.5
 16362.7   93.0   -61.0
 16565.3   90.0   -60.9
 16846.5   86.0   -60.6
 17372.7   79.0   -60.0
 18036.3   71.0   -59.4
 18124.6   70.0   -59.3
 18397.5   67.0   -59.0
 18586.6   65.0   -58.8
 18683.4   64.0   -58.7
 18881.8   62.0   -58.5
 19632.2   55.0   -57.6
 19948.3   52.3   -57.3
 19984.5   52.0   -57.1
 20106.9   51.0   -56.5
 20232.0   50.0   -55.9
 20359.9   49.0   -55.6
 20490.6   48.0   -55.2
 20761.2   46.0   -54.5
 21342.4   42.0   -53.0
 21655.8   40.0   -52.2
 21785.9   39.2   -51.9
 21986.1   38.0   -52.3
 22157.5   37.0   -52.6
 22333.3   36.0   -52.9
 22513.9   35.0   -53.2
 22699.4   34.0   -53.6
 23412.9   30.4   -54.9
 23497.1   30.0   -54.7
 23712.9   29.0   -54.5
 24168.2   27.0   -54.2
 24409.0   26.0   -54.0
 24920.3   24.0   -53.6
 25192.5   23.0   -53.4
 25477.1   22.0   -53.2
 26088.4   20.0   -52.7
 26765.6   18.0   -52.2
 27365.3   16.4   -51.7
 27524.4   16.0   -52.1
 28334.9   14.1   -53.9
 29268.8   12.2   -49.3
 29942.3   11.0   -50.3
 30368.5   10.3   -50.9
 30560.3   10.0   -49.7
 31952.7    8.1   -42.9
 32036.0    8.0   -43.0
 32648.9    7.3   -43.7
 32929.2    7.0   -44.0
