 Dati di altezza, pressione, temperatura; (altezza ricavata tramite formula di Laplace)
  MILANO LINATE - 20/03/2016  ORE 0:00Z - h0= 103.0  p0=1003.0 T0= 11.2
 Z (m),  P (mBar),  T (C)
   294.897339       980.000000       10.0000000    
   388.272766       969.000000       10.0000000    
   647.459106       939.000000       9.00000000    
   718.111145       931.000000       9.00000000    
   771.500427       925.000000       9.00000000    
   923.215454       908.000000       8.00000000    
   932.298096       907.000000       8.00000000    
   1005.32538       899.000000       8.00000000    
   1457.62390       850.000000       4.00000000    
   1669.43896       828.000000       3.00000000    
   1775.70056       817.000000       2.00000000    
   2558.66357       741.000000      -1.00000000    
   3004.57056       700.000000      -4.00000000    
   3442.64160       661.000000      -8.00000000    
   4140.92627       603.000000      -13.0000000    
   4281.32031       593.000000      -12.0000000    
   5473.51465       504.000000      -22.0000000    
   5525.51514       500.000000      -23.0000000    
   5688.28564       489.000000      -24.0000000    
   5990.71777       469.000000      -26.0000000    
   6304.75195       449.000000      -28.0000000    
   6560.16064       433.000000      -30.0000000    
   7102.29541       400.000000      -35.0000000    
   7159.61426       397.000000      -35.0000000    
   7236.71777       393.000000      -35.0000000    
   7611.31104       372.000000      -38.0000000    
   8147.23389       343.000000      -43.0000000    
   8235.17383       339.000000      -43.0000000    
   9027.82910       300.000000      -50.0000000    
   9561.17773       277.000000      -53.0000000    
   9911.49414       262.000000      -56.0000000    
   10184.3604       251.000000      -58.0000000    
   10233.7334       250.000000      -57.0000000    
   10271.8643       248.000000      -58.0000000    
   10611.6357       236.000000      -59.0000000    
   11425.2168       209.000000      -62.0000000    
   11766.5557       200.000000      -61.0000000    
   11899.6875       197.000000      -60.0000000    
   12148.1348       191.000000      -59.0000000    
   12186.2598       190.000000      -59.0000000    
   12498.6846       182.000000      -59.0000000    
   12951.4688       171.000000      -59.0000000    
   13645.4668       156.000000      -58.0000000    
   13739.3701       154.000000      -58.0000000    
   13903.0967       150.000000      -59.0000000    
   14049.8242       147.000000      -59.0000000    
   14968.4863       129.000000      -60.0000000    
   15313.7021       123.000000      -60.0000000    
   15676.1846       117.000000      -60.0000000    
   16358.9541       106.000000      -61.0000000    
   16780.4434       100.000000      -61.0000000    
   17305.3848       93.0000000      -61.0000000    
   17577.8359       90.0000000      -60.0000000    
   17907.3535       86.0000000      -60.0000000    
   18522.7168       79.0000000      -60.0000000    
   19335.3223       71.0000000      -59.0000000    
   19438.3418       70.0000000      -59.0000000    
   19756.4707       67.0000000      -59.0000000    
   20016.5977       65.0000000      -58.0000000    
   20129.4297       64.0000000      -58.0000000    
   20360.4746       62.0000000      -58.0000000    
   21274.7871       55.0000000      -57.0000000    
   21683.7930       52.0000000      -57.0000000    
   21683.7930       52.0000000      -57.0000000    
   21868.9668       51.0000000      -56.0000000    
   22057.5215       50.0000000      -55.0000000    
   22205.4316       49.0000000      -55.0000000    
   22356.3926       48.0000000      -55.0000000    
   22713.0684       46.0000000      -54.0000000    
   23426.8438       42.0000000      -53.0000000    
   23832.6074       40.0000000      -52.0000000    
   24066.5742       39.0000000      -51.0000000    
   24210.3906       38.0000000      -52.0000000    
   24406.8047       37.0000000      -52.0000000    
   24608.6035       36.0000000      -52.0000000    
   24767.0039       35.0000000      -53.0000000    
   24980.0781       34.0000000      -53.0000000    
   25848.7559       30.0000000      -54.0000000    
   25848.7559       30.0000000      -54.0000000    
   26097.4551       29.0000000      -54.0000000    
   26621.6719       27.0000000      -54.0000000    
   26898.5312       26.0000000      -54.0000000    
   27540.3184       24.0000000      -53.0000000    
   27853.1543       23.0000000      -53.0000000    
   28179.8984       22.0000000      -53.0000000    
   28937.7480       20.0000000      -52.0000000    
   29713.7461       18.0000000      -52.0000000    
   30641.7695       16.0000000      -51.0000000    
   30581.2363       16.0000000      -52.0000000    
   31502.2324       14.0000000      -53.0000000    
   32894.2852       12.0000000      -49.0000000    
   33472.9414       11.0000000      -50.0000000    
   34177.7070       10.0000000      -50.0000000    
   34245.1133       10.0000000      -49.0000000    
   36393.0977       8.00000000      -42.0000000    
   36322.4258       8.00000000      -43.0000000    
   37323.4883       7.00000000      -43.0000000    
   37250.8633       7.00000000      -44.0000000    
