 Confronto tra dati di altezza e pressione provenienti da due misurazioni
Numero righe=  161 zmin=  799 zmax=32836
 A:  MILANO LINATE - 20/03/2016  ORE 0:00Z - h0= 103.0  p0=1003.0 T0= 11.2
 B:  MUENCHEN OBERSCHLSSHEIM - 20/03/2016  ORE 0:00Z - h0= 492.0  p0= 961.0 T0=  3.4
 Z (m),  P_A-P_B (mBar)
   800.0  -2.79
  1000.0  -1.83
  1200.0  -0.68
  1400.0   0.17
  1600.0  -0.25
  1800.0  -0.15
  2000.0   0.33
  2200.0   0.64
  2400.0   0.74
  2600.0   0.75
  2800.0   0.50
  3000.0   0.27
  3200.0   0.34
  3400.0  -0.16
  3600.0   0.33
  3800.0  -0.23
  4000.0  -1.02
  4200.0   0.66
  4400.0   1.45
  4600.0  -0.38
  4800.0  -1.30
  5000.0  -1.05
  5200.0  -0.88
  5400.0  -0.77
  5600.0   1.12
  5800.0   0.51
  6000.0   0.40
  6200.0   2.48
  6400.0   4.79
  6600.0   0.99
  6800.0   0.22
  7000.0   0.18
  7200.0   1.28
  7400.0   0.22
  7600.0   0.22
  7800.0   3.97
  8000.0   3.83
  8200.0   1.85
  8400.0   2.71
  8600.0   2.63
  8800.0   2.56
  9000.0  -7.25
  9200.0  -0.46
  9400.0  -0.39
  9600.0   6.43
  9800.0   6.23
 10000.0  10.89
 10200.0  -0.58
 10400.0  -0.34
 10600.0   3.04
 10800.0   2.99
 11000.0   2.94
 11200.0  -6.20
 11400.0   1.29
 11600.0  -2.75
 11800.0   1.69
 12000.0   0.47
 12200.0   2.64
 12400.0  -0.42
 12600.0   2.35
 12800.0   2.53
 13000.0  -2.44
 13200.0   3.23
 13400.0   0.11
 13600.0   2.01
 13800.0   0.49
 14000.0  -2.15
 14200.0  -3.95
 14400.0   1.07
 14600.0   1.03
 14800.0   0.59
 15000.0   2.85
 15200.0   0.50
 15400.0  -2.23
 15600.0   1.96
 15800.0   1.84
 16000.0   1.08
 16200.0  -0.55
 16400.0   0.59
 16600.0   1.71
 16800.0   1.59
 17000.0   0.45
 17200.0   0.40
 17400.0   1.15
 17600.0  -0.41
 17800.0  -0.80
 18000.0  -1.90
 18200.0   0.21
 18400.0   0.51
 18600.0   0.43
 18800.0  -0.01
 19000.0   0.58
 19200.0  -0.82
 19400.0  -0.87
 19600.0  -1.91
 19800.0  -0.23
 20000.0   0.25
 20200.0   0.03
 20400.0   0.33
 20600.0  -0.02
 20800.0   0.57
 21000.0  -0.37
 21200.0  -0.69
 21400.0  -0.07
 21600.0  -0.39
 21800.0   0.16
 22000.0  -0.09
 22200.0   0.08
 22400.0   0.35
 22600.0   0.62
 22800.0   0.88
 23000.0  -0.44
 23200.0  -0.75
 23400.0  -0.73
 23600.0  -0.23
 23800.0  -0.12
 24000.0  -0.44
 24200.0   0.19
 24400.0   0.17
 24600.0   0.46
 24800.0   0.43
 25000.0   1.00
 25200.0   1.26
 25400.0   1.19
 25600.0   1.42
 25800.0   1.34
 26000.0  -0.63
 26200.0  -0.16
 26400.0  -0.17
 26600.0  -0.18
 26800.0   0.40
 27000.0   0.38
 27200.0  -0.44
 27400.0   0.03
 27600.0   0.15
 27800.0   0.14
 28000.0  -0.44
 28200.0  -0.43
 28400.0   0.12
 28600.0   0.09
 28800.0   0.08
 29000.0   0.06
 29200.0   0.05
 29400.0   0.55
 29600.0   0.51
 29800.0   0.47
 30000.0  -0.08
 30200.0  -0.17
 30400.0   0.01
 30600.0   0.08
 30800.0  -0.17
 31000.0  -0.18
 31200.0  -0.37
 31400.0  -0.41
 31600.0  -0.39
 31800.0  -0.49
 32000.0  -0.11
 32200.0  -0.08
 32400.0  -0.08
 32600.0  -0.08
 32800.0   0.06
