 Confronto tra dati di altezza e pressione provenienti da due misurazioni
Numero righe=  182 zmin=  798 zmax=37250
 A:  MILANO LINATE - 20/03/2016  ORE 0:00Z - h0= 103.0  p0=1003.0 T0= 11.2
 B:  MUENCHEN OBERSCHLSSHEIM - 20/03/2016  ORE 0:00Z - h0= 492.0  p0= 961.0 T0=  3.4
 Z (m),  P_A-P_B (mBar)
   800.000000      -2.95104980    
   1000.00000      -2.16662598    
   1200.00000      -2.53802490    
   1400.00000      -2.02490234    
   1600.00000      -1.80895996    
   1800.00000      -2.34759521    
   2000.00000      -1.73516846    
   2200.00000      -1.68847656    
   2400.00000      -1.04998779    
   2600.00000      -1.96441650    
   2800.00000     -0.961608887    
   3000.00000     -0.281250000    
   3200.00000      -1.48339844    
   3400.00000       9.05761719E-02
   3600.00000      -1.77545166    
   3800.00000     -0.599121094    
   4000.00000      0.641784668    
   4200.00000       2.50976562    
   4400.00000      -3.11627197    
   4600.00000      -1.85961914    
   4800.00000      0.615295410    
   5000.00000      0.803283691    
   5200.00000      0.981018066    
   5400.00000       1.14938354    
   5600.00000      0.621520996    
   5800.00000       3.91290283    
   6000.00000       2.73638916    
   6200.00000       2.88830566    
   6400.00000       1.65539551    
   6600.00000      0.983551025    
   6800.00000       1.10238647    
   7000.00000       1.21432495    
   7200.00000       2.69088745    
   7400.00000       4.82098389    
   7600.00000       4.92202759    
   7800.00000       1.43270874    
   8000.00000       1.52005005    
   8200.00000       6.52365112    
   8400.00000       1.54827881    
   8600.00000       1.62356567    
   8800.00000       1.69369507    
   9000.00000       3.16165161    
   9200.00000       5.28839111    
   9400.00000       5.32836914    
   9600.00000       3.23223877    
   9800.00000       3.27401733    
   10000.0000       2.59564209    
   10200.0000       3.33175659    
   10400.0000       4.70416260    
   10600.0000       4.71838379    
   10800.0000       2.67840576    
   11000.0000       2.70256042    
   11200.0000       3.38442993    
   11400.0000       4.05107117    
   11600.0000       5.35995483    
   11800.0000       5.35313416    
   12000.0000       5.97789001    
   12200.0000       4.69364929    
   12400.0000       4.67628479    
   12600.0000       4.65632629    
   12800.0000       4.02786255    
   13000.0000       4.61787415    
   13200.0000       4.59114075    
   13400.0000       4.56225586    
   13600.0000       4.53158569    
   13800.0000       3.35211182    
   14000.0000       3.33296204    
   14200.0000       2.74940491    
   14400.0000       2.73500061    
   14600.0000       2.71923828    
   14800.0000       2.70228577    
   15000.0000       2.68428802    
   15200.0000       2.66517639    
   15400.0000       2.64515686    
   15600.0000       2.62422180    
   15800.0000       2.09973907    
   16000.0000       2.08470917    
   16200.0000       2.06876373    
   16400.0000       2.05222321    
   16600.0000       2.03498840    
   16800.0000       2.01714325    
   17000.0000       1.99884033    
   17200.0000       1.97994232    
   17400.0000       1.96788788    
   17600.0000       1.94803619    
   17800.0000       1.92782593    
   18000.0000       1.90722656    
   18200.0000       1.88626099    
   18400.0000       1.86509705    
   18600.0000       2.24645233    
   18800.0000       1.82888794    
   19000.0000       1.80699158    
   19200.0000       1.03144073    
   19400.0000       1.02204895    
   19600.0000      0.647766113    
   19800.0000      0.649398804    
   20000.0000      0.645423889    
   20200.0000      0.987770081    
   20400.0000       1.32318878    
   20600.0000       1.30644989    
   20800.0000       1.28964233    
   21000.0000       1.27278137    
   21200.0000      0.621337891    
   21400.0000      0.615772247    
   21600.0000      0.303230286    
   21800.0000      0.608684540    
   22000.0000      0.903476715    
   22200.0000      0.891872406    
   22400.0000      0.885120392    
   22600.0000      0.873394012    
   22800.0000       1.14241409    
   23000.0000       1.12552643    
   23200.0000       1.10873032    
   23400.0000       1.09201431    
   23600.0000       1.08058167    
   23800.0000       1.06401062    
   24000.0000       1.29983139    
   24200.0000       1.03120804    
   24400.0000       1.48908234    
   24600.0000       1.46395874    
   24800.0000       1.20583344    
   25000.0000       1.18024445    
   25200.0000       1.37823486    
   25400.0000       1.35432434    
   25600.0000       1.33069420    
   25800.0000       1.10195541    
   26000.0000       1.08292961    
   26200.0000      0.468166351    
   26400.0000      0.461273193    
   26600.0000      0.454408646    
   26800.0000      0.447580338    
   27000.0000      0.628572464    
   27200.0000      0.618137360    
   27400.0000      0.607807159    
   27600.0000      0.597585678    
   27800.0000      0.587467194    
   28000.0000      0.577466965    
   28200.0000      0.734777451    
   28400.0000      0.721672058    
   28600.0000      0.708740234    
   28800.0000      0.849452972    
   29000.0000      0.833763123    
   29200.0000      0.818298340    
   29400.0000      0.803060532    
   29600.0000      0.788051605    
   29800.0000      0.916025162    
   30000.0000       1.03365898    
   30200.0000       1.01370907    
   30400.0000      0.994081497    
   30600.0000      0.974778175    
   30800.0000     -0.182604790    
   31000.0000     -0.177861214    
   31200.0000     -0.173250198    
   31400.0000     -0.168749809    
   31600.0000      0.311122894    
   31800.0000      0.305613518    
   32000.0000      0.300176620    
   32200.0000      0.294811249    
   32400.0000      0.289518356    
   32600.0000      0.284298897    
   32800.0000      0.279150963    
   33000.0000      0.170617104    
   33200.0000      0.167758942    
   33400.0000      0.164931297    
   33600.0000      0.162135124    
   33800.0000      0.159370422    
   34000.0000      0.156638145    
   34200.0000      0.155377388    
   34400.0000      0.790579796    
   34600.0000      0.774666786    
   34800.0000      0.759043694    
   35000.0000      0.826112747    
   35200.0000      0.809310913    
   35400.0000      0.792819023    
   35600.0000      0.776628494    
   35800.0000      0.143894196    
   36000.0000      0.141322136    
   36200.0000      0.138787270    
   36400.0000       6.12821579E-02
   36600.0000       6.03871346E-02
   36800.0000       5.94973564E-02
   37000.0000       5.86123466E-02
