 Dati di altezza, pressione, temperatura; (altezza ricavata tramite formula di Laplace)
  MUENCHEN OBERSCHLSSHEIM - 20/03/2016  ORE 0:00Z - h0= 492.0  p0= 961.0 T0=  3.4
 Z (m),  P (mBar),  T (C)
   798.1  925.0     0.4
  1157.8  884.0    -2.3
  1211.8  878.0    -0.4
  1248.2  874.0     0.8
  1470.3  850.0     0.2
  1498.4  847.0     0.3
  1507.9  846.0     0.4
  1602.7  836.0     0.6
  1756.5  820.0    -0.7
  1873.5  808.0    -1.2
  2102.0  785.0    -2.3
  2213.4  774.0    -1.9
  2264.7  769.0    -2.0
  2368.1  759.0    -2.3
  2642.9  733.0    -2.9
  2740.2  724.0    -3.5
  2937.6  706.0    -4.7
  2948.7  705.0    -4.8
  3004.3  700.0    -5.3
  3161.7  686.0    -6.3
  3252.9  678.0    -6.8
  3344.9  670.0    -7.4
  3356.5  669.0    -7.5
  3402.9  665.0    -8.1
  3507.9  656.0    -9.1
  3531.4  654.0    -9.3
  3709.4  639.0   -10.7
  3939.4  620.0   -12.5
  4150.0  603.0   -14.1
  4481.0  577.0   -16.8
  4572.1  570.0   -17.5
  4611.3  567.0   -17.8
  4690.4  561.0   -18.5
  4783.5  554.0   -18.7
  5465.1  505.0   -22.5
  5537.7  500.0   -22.9
  5774.4  484.0   -23.9
  6556.2  434.0   -30.2
  6638.1  429.0   -30.9
  7128.1  400.0   -34.9
  7303.3  390.0   -36.3
  8079.1  348.0   -42.5
  8908.9  307.0   -49.3
  8930.1  306.0   -49.5
  9058.8  300.0   -50.5
  9145.8  296.0   -51.1
 10021.5  258.0   -57.5
 10218.9  250.0   -58.3
 10345.2  245.0   -58.7
 10422.1  242.0   -59.1
 11096.4  217.0   -62.4
 11297.2  210.0   -63.4
 11594.1  200.0   -64.9
 11654.9  198.0   -65.3
 11969.5  188.0   -64.1
 12067.5  185.0   -63.7
 12337.7  177.0   -62.7
 12477.8  173.0   -62.5
 12806.0  164.0   -61.9
 12958.0  160.0   -61.6
 13315.1  151.0   -61.0
 13356.2  150.0   -60.9
 13439.2  148.0   -60.8
 13608.6  144.0   -60.7
 13917.0  137.0   -60.5
 14100.6  133.0   -60.3
 14147.4  132.0   -60.3
 14338.0  128.0   -60.4
 14686.4  121.0   -60.5
 15001.2  115.0   -60.6
 15389.8  108.0   -60.7
 15865.7  100.0   -60.9
 16118.1   96.0   -60.6
 16381.7   92.0   -60.3
 16872.8   85.0   -59.8
 17249.8   80.0   -59.4
 17487.8   77.0   -59.1
 17569.3   76.0   -59.0
 17651.9   75.0   -58.9
 17820.6   73.0   -58.7
 17855.0   72.6   -58.7
 17906.8   72.0   -58.2
 18083.9   70.0   -56.5
 18174.8   69.0   -56.0
 18361.1   67.0   -55.1
 18554.0   65.0   -54.1
 18753.3   63.0   -54.4
 19170.6   59.0   -55.0
 19513.1   55.9   -55.5
 19733.0   54.0   -53.9
 19852.6   53.0   -53.0
 19913.5   52.5   -52.5
 20099.7   51.0   -52.6
 20226.9   50.0   -52.7
 20489.1   48.0   -52.4
 20904.5   45.0   -51.9
 21049.4   44.0   -51.7
 21349.6   42.0   -51.4
 21505.3   41.0   -51.2
 21665.0   40.0   -51.0
 21997.2   38.0   -50.6
 22065.8   37.6   -50.5
 22907.8   33.0   -52.7
 23105.1   32.0   -53.2
 23517.5   30.0   -54.3
 23581.5   29.7   -54.5
 23733.5   29.0   -54.2
 23957.5   28.0   -53.8
 25809.5   21.0   -50.4
 25997.7   20.4   -50.1
 26126.2   20.0   -50.5
 27177.5   17.0   -51.6
 27898.4   15.2   -52.3
 27983.7   15.0   -52.0
 29834.9   11.3   -45.5
 30013.4   11.0   -45.5
 30645.1   10.0   -45.7
 31198.7    9.2   -44.7
 31344.8    9.0   -45.0
 31723.9    8.5   -45.9
 31961.5    8.2   -46.5
 32836.4    7.2   -37.9
