 Dati di altezza, pressione, temperatura; (altezza ricavata tramite formula di Laplace)
  MUENCHEN OBERSCHLSSHEIM - 20/03/2016  ORE 0:00Z - h0= 492.0  p0= 961.0 T0=  3.4
 Z (m),  P (mBar),  T (C)
   797.893188       925.000000       0.00000000    
   1158.67407       884.000000      -2.00000000    
   1215.68140       878.000000      -0.00000000    
   1252.26440       874.000000       0.00000000    
   1475.34302       850.000000       0.00000000    
   1503.66919       847.000000       0.00000000    
   1513.13354       846.000000       0.00000000    
   1608.39941       836.000000       0.00000000    
   1763.21936       820.000000      -0.00000000    
   1878.79407       808.000000      -1.00000000    
   2106.77783       785.000000      -2.00000000    
   2222.59033       774.000000      -1.00000000    
   2271.15869       769.000000      -2.00000000    
   2375.64233       759.000000      -2.00000000    
   2653.88013       733.000000      -2.00000000    
   2748.35522       724.000000      -3.00000000    
   2944.44409       706.000000      -4.00000000    
   2955.71704       705.000000      -4.00000000    
   3007.68774       700.000000      -5.00000000    
   3163.13794       686.000000      -6.00000000    
   3256.08887       678.000000      -6.00000000    
   3344.86597       670.000000      -7.00000000    
   3356.67969       669.000000      -7.00000000    
   3398.72681       665.000000      -8.00000000    
   3500.71655       656.000000      -9.00000000    
   3524.77783       654.000000      -9.00000000    
   3701.64868       639.000000      -10.0000000    
   3926.24512       620.000000      -12.0000000    
   4130.47412       603.000000      -14.0000000    
   4459.63965       577.000000      -16.0000000    
   4546.93262       570.000000      -17.0000000    
   4587.89844       567.000000      -17.0000000    
   4662.61133       561.000000      -18.0000000    
   4759.90234       554.000000      -18.0000000    
   5439.80664       505.000000      -22.0000000    
   5516.32373       500.000000      -22.0000000    
   5756.39014       484.000000      -23.0000000    
   6511.90771       434.000000      -30.0000000    
   6599.65967       429.000000      -30.0000000    
   7078.41748       400.000000      -34.0000000    
   7242.28027       390.000000      -36.0000000    
   8006.01367       348.000000      -42.0000000    
   8816.45996       307.000000      -49.0000000    
   8840.26172       306.000000      -49.0000000    
   8967.69043       300.000000      -50.0000000    
   9048.18750       296.000000      -51.0000000    
   9931.07715       258.000000      -57.0000000    
   10137.4756       250.000000      -58.0000000    
   10282.1934       245.000000      -58.0000000    
   10350.2764       242.000000      -59.0000000    
   11064.4678       217.000000      -62.0000000    
   11275.1855       210.000000      -63.0000000    
   11598.1543       200.000000      -64.0000000    
   11646.1582       198.000000      -65.0000000    
   12035.9551       188.000000      -64.0000000    
   12173.8740       185.000000      -63.0000000    
   12512.0508       177.000000      -62.0000000    
   12674.4531       173.000000      -62.0000000    
   13079.8916       164.000000      -61.0000000    
   13255.6875       160.000000      -61.0000000    
   13667.8594       151.000000      -61.0000000    
   13742.3340       150.000000      -60.0000000    
   13838.0938       148.000000      -60.0000000    
   14033.5596       144.000000      -60.0000000    
   14389.0654       137.000000      -60.0000000    
   14600.4600       133.000000      -60.0000000    
   14654.3018       132.000000      -60.0000000    
   14873.8291       128.000000      -60.0000000    
   15275.0449       121.000000      -60.0000000    
   15637.8711       115.000000      -60.0000000    
   16085.8955       108.000000      -60.0000000    
   16634.9375       100.000000      -60.0000000    
   16926.1641       96.0000000      -60.0000000    
   17229.7871       92.0000000      -60.0000000    
   17829.8320       85.0000000      -59.0000000    
   18263.2188       80.0000000      -59.0000000    
   18536.4492       77.0000000      -59.0000000    
   18629.8965       76.0000000      -59.0000000    
   18761.8906       75.0000000      -58.0000000    
   18955.5039       73.0000000      -58.0000000    
   19054.3105       72.0000000      -58.0000000    
   19054.3105       72.0000000      -58.0000000    
   19332.7422       70.0000000      -56.0000000    
   19436.2344       69.0000000      -56.0000000    
   19686.7520       67.0000000      -55.0000000    
   19944.5703       65.0000000      -54.0000000    
   20170.2715       63.0000000      -54.0000000    
   20603.1836       59.0000000      -55.0000000    
   21109.1582       55.0000000      -55.0000000    
   21325.6309       54.0000000      -53.0000000    
   21460.8945       53.0000000      -53.0000000    
   21641.4023       52.0000000      -52.0000000    
   21782.2051       51.0000000      -52.0000000    
   21925.7949       50.0000000      -52.0000000    
   22221.7969       48.0000000      -52.0000000    
   22734.5508       45.0000000      -51.0000000    
   22897.8320       44.0000000      -51.0000000    
   23235.8320       42.0000000      -51.0000000    
   23410.9160       41.0000000      -51.0000000    
   23590.3262       40.0000000      -51.0000000    
   24010.2598       38.0000000      -50.0000000    
   24204.4141       37.0000000      -50.0000000    
   24938.7227       33.0000000      -52.0000000    
   25112.0840       32.0000000      -53.0000000    
   25528.4004       30.0000000      -54.0000000    
   25773.2305       29.0000000      -54.0000000    
   25773.2305       29.0000000      -54.0000000    
   26078.3750       28.0000000      -53.0000000    
   28327.9551       21.0000000      -50.0000000    
   28683.1641       20.0000000      -50.0000000    
   28683.1641       20.0000000      -50.0000000    
   29807.3320       17.0000000      -51.0000000    
   30655.8770       15.0000000      -52.0000000    
   30655.8770       15.0000000      -52.0000000    
   33362.5469       11.0000000      -45.0000000    
   33362.5469       11.0000000      -45.0000000    
   34063.4062       10.0000000      -45.0000000    
   34906.4922       9.00000000      -44.0000000    
   34838.1719       9.00000000      -45.0000000    
   35704.2852       8.00000000      -45.0000000    
   35634.2383       8.00000000      -46.0000000    
   37262.1992       7.00000000      -37.0000000    
